AABW,NAO,SFWF,N_SALT,SALT_500m,ICEFRAC,PD_0m,PD_200m,TAUX,AMOC
-8.369528,-243.75,-1.1192628217542552e-05,-9565234176.0,35.9239168191757,0.6145694844174917,1.0278213959399278,1.0284466010458926,-0.038176015,5.8559
-10.022922,114.765625,-1.4491939221593398e-05,-7907314688.0,35.92054055581105,0.6421276486835268,1.027889470017053,1.0284499226732458,-0.03713165,5.7583675
-11.340848,-404.8125,-7.503255377887252e-06,-11139179520.0,35.91418519130973,0.641396933630555,1.027841735419219,1.028459267920636,-0.05557892,6.372967
-11.288152,-631.328125,-2.6386125332374755e-06,-10186532864.0,35.90489865088648,0.620002661135004,1.0277240353871169,1.0284648895263673,-0.0541359,7.4676538
-8.477569,-316.296875,-1.4430676244766382e-05,-6961191936.0,35.90057012277056,0.6542031414125328,1.0277032304585465,1.0284636753670713,-0.03795232,7.848064
-8.437814,97.1015625,-7.149813242126186e-06,-6889730048.0,35.902227160234474,0.6505474889060375,1.0276485070949648,1.028457919841117,-0.028598726,8.2754
-9.560342,-333.5078125,-5.571787522354524e-06,-7032236544.0,35.90492382591701,0.6337055954215126,1.027575237237341,1.028444882149392,-0.036766198,8.923133
-10.500457,-203.1484375,-7.060738846943895e-06,-6385117696.0,35.91059101706019,0.6102837048310903,1.0275685816276363,1.0284322487547042,-0.039089482,8.966761
-11.11164,-151.8359375,-1.2642428335484894e-05,-6292158976.0,35.913417589448834,0.6224682087795372,1.0276213419146654,1.028418577478287,-0.042429104,9.0034075
-11.625603,17.3125,-8.798058646208952e-06,-6897290752.0,35.917822135511294,0.6165156534195072,1.0276646820025714,1.0284183722861269,-0.05004536,8.646241
-8.517343,-162.96875,-1.2700931777994506e-05,-9016175616.0,35.920671103228585,0.6463965739403648,1.0276992258017623,1.0284164063473966,-0.034452662,8.18557
-10.219174,129.8125,-1.2320547102648362e-05,-7880364544.0,35.924035843644646,0.6186081787539782,1.0277447862838345,1.028418976448952,-0.052874953,8.131619
-10.154889,-16.40625,-9.222048625197604e-06,-9547357184.0,35.92668808338254,0.6309774770161312,1.0277459759537766,1.0284279721848508,-0.051010102,7.681091
-11.049515,-319.3515625,-9.11839272057549e-06,-7973842432.0,35.93274550721319,0.6410665002719421,1.027788732594591,1.0284414704809797,-0.0492387,7.0590806
-10.186744,91.90625,-4.782953087284717e-06,-7916930048.0,35.93323250704034,0.6279200509294848,1.0277499180983722,1.028451392244785,-0.04551302,6.360367
-8.944827,182.2265625,-1.2129963429476504e-05,-9940696064.0,35.9331019891941,0.632957327591915,1.0276633285410035,1.0284463978828269,-0.040076256,5.736898
-10.257967,-170.140625,-4.444189996188175e-06,-8646676480.0,35.92854908393643,0.6237936546312994,1.0276516244663456,1.0284344105010337,-0.04773338,6.6287036
-13.396329,-176.890625,-9.361843073150096e-06,-7630649344.0,35.93174505110551,0.6302442436929899,1.0276701188668973,1.0284347285615636,-0.064976394,7.7175307
-10.16588,79.171875,-1.1084875596877256e-05,-9836238848.0,35.937254863808015,0.6215219859532226,1.027699151417104,1.0284312727603506,-0.046753038,8.170482
-8.939039,-245.78125,-1.0545780375254044e-05,-5909036032.0,35.938179094970074,0.6133310115613616,1.027655223763086,1.0284137918594036,-0.046864584,7.079645
-11.639267,-92.3046875,-9.152352100595369e-06,-5833261056.0,35.937820148714444,0.6198236805885244,1.0276445501703555,1.0284139169023392,-0.05788756,6.4350476
-9.21034,-142.6796875,-1.0674187527056253e-05,-8770053120.0,35.934757587521574,0.6360282619637777,1.027669603747081,1.0284130806618548,-0.039984837,6.823002
-11.015736,560.28125,-9.468433336963251e-06,-9116998656.0,35.93388539198449,0.6144933147067301,1.027605270224858,1.0284117587069248,-0.06165819,7.251057
-10.344454,246.4140625,-1.189924285314495e-05,-8127220224.0,35.934891811636994,0.6249646748819941,1.0276144205070123,1.0284020855071696,-0.053418603,6.727062
-9.739188,-31.078125,-1.1501846000751416e-05,-6441304576.0,35.93702390212421,0.621462695596468,1.027626477363633,1.0283971312198232,-0.05926637,7.438902
-9.084929,-338.6640625,-4.5752141795610565e-06,-5563091456.0,35.944713158816946,0.6161686501248672,1.0276689980088212,1.0284063712079474,-0.03625152,6.8642254
-9.961636,-77.7265625,-1.551350590154646e-05,-4666078208.0,35.95005030471841,0.6355315025678768,1.0276909737083,1.0284096509852307,-0.053694133,7.2763333
-12.224093,-30.546875,-1.0566440533105947e-05,-6864286208.0,35.949981492311146,0.6166436901506435,1.0276794419056032,1.0284092154908688,-0.06820875,6.5795236
-10.149011,69.7734375,-1.5532215399613808e-05,-8904943616.0,35.95117561084047,0.6528880781588668,1.0277652733209657,1.028418572659188,-0.050062828,6.877748
-8.553958,325.515625,-6.917532722068496e-06,-7448880128.0,35.9493943739307,0.6197225653916879,1.0277444070916837,1.0284267027327354,-0.04486407,6.2996964
-11.4443865,-431.03125,-8.803535763924057e-06,-9323867136.0,35.94819341457475,0.6145304571467326,1.0276586842246171,1.0284272341018028,-0.062418275,6.081178
-10.992242,-431.609375,-9.441864725298416e-06,-8212460544.0,35.94397982023175,0.6338059110494214,1.0276558779604066,1.0284270776079056,-0.05126963,7.1278443
-9.185843,218.8046875,-1.1164397593619097e-05,-7093103616.0,35.94237717423944,0.6372156163603601,1.0276837281095303,1.0284295109992332,-0.042262323,6.9668736
-8.6132555,-26.84375,-7.74049099285566e-06,-8284659200.0,35.93935375558622,0.6309880242109406,1.0275890674532913,1.0284220637159145,-0.036129754,6.912784
-10.568159,78.9296875,-7.934392564482143e-06,-9130107904.0,35.93854791803877,0.6212277242229902,1.0275934125349773,1.0284111649432082,-0.053026464,7.511837
-9.08704,-114.484375,-1.3918152589243254e-05,-9173538816.0,35.9418822197335,0.6433833541838491,1.0276255324119474,1.0284117226905012,-0.041786447,7.7120824
-8.886977,182.75,-1.062281097556436e-05,-8300717056.0,35.946959325509475,0.6370572802061361,1.0277265046185595,1.0284159127702104,-0.033094354,5.9111047
-8.913372,-252.8203125,-1.0998691123557755e-05,-10147633152.0,35.94926016952948,0.6195752338220094,1.0277041560266076,1.0284164000064768,-0.045854025,5.695093
-10.70987,-325.46875,-1.2538464367484904e-05,-8379491840.0,35.95180848587391,0.6483883444919533,1.0277620377094765,1.028424343910623,-0.04175455,5.4035316
-10.651897,508.8125,-1.1587164680998633e-05,-9289075712.0,35.95133759254633,0.6463118687679525,1.0277402105370188,1.028435683757701,-0.04055055,6.258635
-10.962905,285.7578125,-1.1675468402511508e-05,-7219542528.0,35.94950621257457,0.6335002582897383,1.02764068749862,1.0284320909926232,-0.047107868,6.3576274
-11.516182,-473.8359375,-5.307996596752743e-06,-9097217024.0,35.94711297796678,0.6195883766043456,1.027626424058666,1.0284283204281583,-0.049028907,7.209652
-11.14845,-126.4296875,-1.509592358555602e-05,-5558143488.0,35.949736829259905,0.6460751440426975,1.0276894705082342,1.0284327278745935,-0.05240883,7.184736
-10.097475,-216.4140625,-1.396687419152616e-05,-10438992896.0,35.95291048981423,0.6523872746978062,1.0277406272849416,1.0284367954477351,-0.044278096,7.72048
-12.269722,-377.515625,-8.800252563383351e-06,-10312180736.0,35.95112199807968,0.643541154964017,1.027690705729694,1.0284368411023566,-0.06624033,7.2023883
-9.942147,-108.3046875,-5.538796798900626e-06,-7964338688.0,35.94592961353233,0.6319732292607417,1.027578001584464,1.0284332633018494,-0.056684732,6.909739
-10.094323,122.140625,-1.4517908006309508e-05,-8231909888.0,35.942717125865535,0.6565359236143801,1.027593562273475,1.028425939286009,-0.042430982,7.110376
-11.746448,-253.8125,-1.0628392955705344e-05,-9319184384.0,35.940221071859355,0.6245032295585892,1.0276244890883686,1.02841731842528,-0.06452684,7.690218
-9.158038,272.4296875,-9.06951652918504e-06,-7279204352.0,35.94000529010783,0.6037337974266848,1.027622159419021,1.0284130266372191,-0.050225236,7.507835
-7.56242,-323.78125,-9.73874220666818e-06,-8016559616.0,35.94090250296186,0.6090521360723263,1.0276893130162867,1.0284064764672138,-0.028252654,7.3218427
-10.767276,208.1171875,-1.0135599301569171e-05,-6807580672.0,35.94279231581577,0.6345658575349565,1.027714838584264,1.0284127397740142,-0.05942114,6.1182313
-10.307098,16.5546875,-7.923999370281665e-06,-7282120704.0,35.93990760625795,0.5905298301295261,1.027685006459554,1.0284128305759836,-0.053271115,6.005176
-11.17699,-317.1640625,-1.4231729688713296e-05,-4890198528.0,35.93826017946544,0.6354851837216605,1.027718153668613,1.02841911392009,-0.043419473,5.8061776
-8.33267,241.109375,-8.225034162981302e-06,-6109016064.0,35.94188184516374,0.6185399850589116,1.027720333841758,1.0284288472317635,-0.037959322,6.502235
-10.238703,-131.9765625,-9.954305593443867e-06,-7757588480.0,35.944828841729375,0.620178712360333,1.027718761829826,1.028430357385189,-0.043618456,6.921161
-11.2821665,-338.8671875,-9.83738838972046e-06,-8264510464.0,35.94705593493558,0.6272266219281543,1.027693726909839,1.0284366749702616,-0.052490328,8.274262
-9.878676,258.8515625,-8.836188274437014e-06,-8847512576.0,35.94449511978977,0.5913423063278364,1.0276923802325395,1.0284355977748303,-0.04885079,8.357486
-9.533962,-89.375,-1.0469063668684e-05,-6463767040.0,35.939099807147834,0.6351518195636648,1.0277600593683196,1.028435057021202,-0.04112437,7.5047913
-8.897507,70.8671875,-5.804948896176127e-06,-6398324736.0,35.93577238570812,0.6234820344719386,1.027720144851421,1.028429170618666,-0.046538692,7.0124507
-10.960355,-189.0625,-1.1118506580374871e-05,-7990435328.0,35.93511313307809,0.6267738424327641,1.0276785509857704,1.0284235601729534,-0.06282648,7.0948653
-10.095678,-459.609375,1.9817214272468e-07,-8091061248.0,35.93442839984746,0.6159474260130082,1.027614481565429,1.0284250023517203,-0.047016487,7.7767167
-9.655707,-279.84375,-4.347412162398007e-06,-6630989824.0,35.93487441385747,0.6135343847508921,1.0275090671167142,1.0284231538468218,-0.04125911,8.434167
-7.1250024,512.8984375,-1.54348349841742e-05,-4028239616.0,35.93537713575733,0.6230362736338672,1.0275639041167934,1.0284153986484446,-0.026722291,8.046173
-8.173909,-285.28125,-1.2174572488696312e-05,-10198924288.0,35.942005413755275,0.6231742473009945,1.027641522205942,1.0284095454723277,-0.035453252,8.683883
-7.8813043,-5.5234375,-4.786349641823698e-06,-6443176960.0,35.94882585589584,0.6022088725918971,1.027649900535258,1.0284120653537994,-0.026698045,7.909517
-11.307774,-279.1640625,-8.166816631584904e-06,-8607278080.0,35.95371259152119,0.622712587013666,1.0277087271698122,1.028416300073583,-0.045418847,8.40875
-13.037305,-44.6484375,-6.802742361964104e-06,-8526402560.0,35.95584949227266,0.6285145858540394,1.0276937535623225,1.0284187692276976,-0.060065225,8.790299
-8.608425,126.8203125,-8.318374365576412e-06,-5535107584.0,35.95683092417951,0.608677303265722,1.0276675398756818,1.0284170315620746,-0.03169343,8.113429
-7.2493854,152.6015625,-1.2848992590620168e-05,-7661659136.0,35.9603157536312,0.6385870602674307,1.027693696622926,1.0284211673635115,-0.021191401,8.081906
